kan_neurons,kan_grid,lamb,"embed_dim, num_heads",ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,"64, 2",0.790293038,"[[358  78   4   1]
 [ 35 357  26   2]
 [  2  12  52   0]
 [  4  24  41  96]]",79,0.240930468,0.759069562,"V22: 0.25
V14: 0.20
V13: 0.19","V24: 0.30
V22: 0.28
V23: 0.28"
12,8,0.001,"64, 2",0.813186824,"[[348  75  14   4]
 [ 24 386   8   2]
 [  2  23  38   3]
 [  3  19  27 116]]",73,0.237322286,0.762677729,"V2: 0.25
V14: 0.21
V20: 0.20","V21: 0.39
V23: 0.34
V22: 0.33"
12,8,0.001,"64, 4",0.764652014,"[[323 104  11   3]
 [ 38 365  15   2]
 [  2  23  41   0]
 [  8  27  24 106]]",87,0.276010752,0.723989248,"V10: 0.24
V12: 0.23
V9: 0.19","V23: 0.35
V22: 0.35
V24: 0.32"
12,8,0.001,"64, 4",0.725274742,"[[321 114   5   1]
 [ 54 349  15   2]
 [  2  24  40   0]
 [  1  32  50  82]]",84,0.286162138,0.713837922,"V13: 0.22
V22: 0.22
V7: 0.21","V23: 0.34
V22: 0.34
V24: 0.32"
12,8,0.001,"64, 8",0.794871807,"[[356  79   4   2]
 [ 31 377  12   0]
 [  1  16  48   1]
 [  2  22  54  87]]",89,0.180042177,0.819957793,"V13: 0.32
V6: 0.21
V22: 0.19","V23: 0.33
V22: 0.33
V24: 0.31"
12,8,0.001,"64, 8",0.771978021,"[[326 102   9   4]
 [ 40 365  15   0]
 [  1  19  46   0]
 [  1  22  36 106]]",87,0.074281417,0.925718606,"V14: 0.23
V15: 0.21
V10: 0.20","V13: 0.32
V22: 0.28
V21: 0.26"
12,8,0.001,"64, 8",0.709706962,"[[303 130   8   0]
 [ 43 351  25   1]
 [  0  18  48   0]
 [  2  22  68  73]]",87,0.149308324,0.850691676,"V13: 0.25
V15: 0.21
V7: 0.21","V13: 0.35
V24: 0.34
V23: 0.32"
12,8,0.001,"32, 2",0.745421231,"[[310 106  19   6]
 [ 30 373  16   1]
 [  3  26  36   1]
 [ 10  18  42  95]]",63,0.274343044,0.725656927,"V22: 0.26
V14: 0.24
V15: 0.21","V22: 0.32
V8: 0.30
V23: 0.30"
12,8,0.001,"32, 2",0.782051265,"[[342  81  17   1]
 [ 30 369  20   1]
 [  2  23  39   2]
 [  4  19  38 104]]",83,0.377699912,0.622300088,"V13: 0.24
V14: 0.23
V18: 0.22","V22: 0.34
V23: 0.32
V24: 0.28"
12,8,0.001,"32, 4",0.775641024,"[[334  90  13   4]
 [ 23 376  19   2]
 [  0  29  36   1]
 [  4  21  39 101]]",69,0.365636528,0.634363472,"V14: 0.25
V22: 0.20
V13: 0.19","V22: 0.38
V23: 0.37
V24: 0.31"
12,8,0.001,"32, 4",0.761904776,"[[326  98  16   1]
 [ 27 375  17   1]
 [  3  26  34   3]
 [  9  19  40  97]]",74,0.309994251,0.69000572,"V14: 0.25
V13: 0.25
V22: 0.23","V21: 0.31
V22: 0.27
V19: 0.26"
12,8,0.001,"32, 8",0.768315017,"[[338  85  13   5]
 [ 36 364  20   0]
 [  1  27  35   3]
 [  7  15  41 102]]",65,0.394839257,0.605160713,"V22: 0.23
V14: 0.23
V15: 0.22","V21: 0.37
V22: 0.32
V23: 0.30"
12,8,0.001,"32, 8",0.748168528,"[[329  97  13   2]
 [ 38 354  25   3]
 [  2  27  34   3]
 [  5  19  41 100]]",89,0.433738977,0.566260993,"V22: 0.27
V14: 0.25
V9: 0.22","V21: 0.36
V22: 0.32
V23: 0.30"
12,8,0.001,"16, 2",0.784798563,"[[333  91  13   4]
 [ 25 377  14   4]
 [  1  26  36   3]
 [  6  19  29 111]]",79,0.561175942,0.438823998,"V22: 0.26
V14: 0.24
V9: 0.22","V23: 0.28
V22: 0.27
V19: 0.27"
12,8,0.001,"16, 2",0.608058631,"[[253 156  30   2]
 [ 50 337  33   0]
 [  0  38  28   0]
 [  7  42  70  46]]",79,0.588317871,0.411682129,"V7: 0.27
V14: 0.26
V5: 0.24","V9: 0.34
V20: 0.31
V15: 0.31"
